Provider_ID,Provider_Name,Specialty,City,Experience_Years
PR001,Provider_001,Cardiology,Hyderabad,6
PR002,Provider_002,Orthopedics,Bangalore,7
PR003,Provider_003,General Medicine,Chennai,8
PR004,Provider_004,Neurology,Mumbai,9
PR005,Provider_005,Cardiology,Hyderabad,10
PR006,Provider_006,Orthopedics,Bangalore,11
PR007,Provider_007,General Medicine,Chennai,12
PR008,Provider_008,Neurology,Mumbai,13
PR009,Provider_009,Cardiology,Hyderabad,14
PR010,Provider_010,Orthopedics,Bangalore,15
PR011,Provider_011,General Medicine,Chennai,16
PR012,Provider_012,Neurology,Mumbai,17
PR013,Provider_013,Cardiology,Hyderabad,18
PR014,Provider_014,Orthopedics,Bangalore,19
PR015,Provider_015,General Medicine,Chennai,20
PR016,Provider_016,Neurology,Mumbai,5
PR017,Provider_017,Cardiology,Hyderabad,6
PR018,Provider_018,Orthopedics,Bangalore,7
PR019,Provider_019,General Medicine,Chennai,8
PR020,Provider_020,Neurology,Mumbai,9
